ID,GruenhornApotheke,AbcApotheke,HeliosApotheke,420BrokkoliApotheke,CannflosApotheke,GrueneblueteApotheke,Cannabisapo24Apotheke
128,Ostara Nova,Ostara Nova,Ostara Nova – Bubblegum Biscotti x Grape Gasoline,Ostara Nova,Ostara Nova,None,Ostara Nova
129,None,Together Pharma Andromeda,Together Pharma Andromeda – Kush Kush,Together Pharma Andromeda,None,None,None
130,420 Natural 20/1 CA GG4,420 Natural 20/1,420 Natural 20/1 CA – Gorilla Glue,None,None,None,None
131,420 Natural 15/1 CA TRP,None,None,None,None,None,None
132,AMP Classic 18/1: White Widow,None,None,None,None,AMP Classic 18/1 (White Widow),AMP 18/1 Classic
133,AVAAY 18/1 BBH,AVAAY 18/1 BBH,Avaay 18/1 BBH – Blueberry Haze,None,Avaay 18/1,AVAAY 18/1 BBH (Blueberry Haze),None
134,AVAAY 23/1 CRE,None,Avaay 23/1 CRE – Creamy Kees,AVAAY 23/1 Creamy Kees No. 5,Avaay 23/1 CRE,AVAAY 23/1 CRE (Creamy Kees No.5),None
135,AVAAY 23/1 RG,AVAAY 23/1 RG,Avaay 23/1 RG – Royal Gorilla,None,Avaay 23/1 RG,AVAAY 23/1 RG (Royal Gorilla),None
136,AVAAY 24/1 SK,AVAAY 24/1 SK,Avaay 24/1 SK – Sour Kush,AVAAY 24/1 SK,None,AVAAY 24/1 Sour Kush (Sour Kush),None
137,AVAAY 28/1 KH,AVAAY 28/1 KH,Avaay 28/1 KH – Karel’s Haze,None,Avaay 28/1 KH,AVAAY 28/1 KH (Karel's Haze),None
138,Aphria Medium 7,Aphria Medium 7,None,None,None,Aphria Medium 7 (White Widow),None
139,Apocan Natural GG 22/1,None,None,None,None,None,None
140,Beacon Indica THC 20,None,Beacon Indica THC 20 – Sensi Star,None,Beacon Indica THC 20,None,Beacon Indica THC 20 Sensi Star
141,Breezy Malaga Green,None,None,None,Breezy Malaga Green 25/1,None,None
